id,plant_id,user_id,created_at,updated_at
83,134,14,2024-06-23 17:57:28.086,2024-06-23 17:57:28.086
84,81,14,2024-06-23 18:06:56.318,2024-06-23 18:06:56.318
85,87,14,2024-06-23 18:12:18.480,2024-06-23 18:12:18.480
86,85,14,2024-06-23 18:12:22.095,2024-06-23 18:12:22.095
87,81,14,2024-06-23 18:12:24.547,2024-06-23 18:12:24.547
90,64,3,2024-06-23 18:16:18.320,2024-06-23 18:16:18.320
91,64,3,2024-06-23 18:16:23.888,2024-06-23 18:16:23.888
92,75,14,2024-06-23 18:18:44.433,2024-06-23 18:18:44.433
93,81,17,2024-06-24 00:03:33.001,2024-06-24 00:03:33.001
94,81,17,2024-06-24 00:03:36.075,2024-06-24 00:03:36.075
95,81,17,2024-06-24 00:03:38.943,2024-06-24 00:03:38.943
96,81,17,2024-06-24 00:21:41.654,2024-06-24 00:21:41.654
97,81,17,2024-06-24 00:51:43.763,2024-06-24 00:51:43.763
99,75,14,2024-06-24 02:20:42.772,2024-06-24 02:20:42.772
100,81,14,2024-06-24 02:23:39.743,2024-06-24 02:23:39.743
101,81,41,2024-06-24 02:38:25.725,2024-06-24 02:38:25.725
102,81,41,2024-06-24 02:42:57.091,2024-06-24 02:42:57.091
104,64,33,2024-06-24 02:48:49.431,2024-06-24 02:48:49.431
105,81,17,2024-06-24 03:56:40.797,2024-06-24 03:56:40.797
106,81,17,2024-06-24 03:56:43.208,2024-06-24 03:56:43.208
107,81,17,2024-06-24 03:57:13.579,2024-06-24 03:57:13.579
108,81,17,2024-06-24 03:58:12.612,2024-06-24 03:58:12.612
118,86,38,2024-06-24 05:31:24.232,2024-06-24 05:31:24.232
119,108,14,2024-06-24 05:46:16.862,2024-06-24 05:46:16.862
120,81,17,2024-06-24 06:47:24.689,2024-06-24 06:47:24.689
121,81,41,2024-06-24 07:34:25.698,2024-06-24 07:34:25.698
122,85,3,2024-06-25 06:23:03.761,2024-06-25 06:23:03.761
123,86,38,2024-06-26 07:03:28.849,2024-06-26 07:03:28.849
124,64,14,2024-06-26 13:29:56.185,2024-06-26 13:29:56.185
125,77,27,2024-06-26 14:56:18.200,2024-06-26 14:56:18.200
126,61,27,2024-06-26 15:31:24.755,2024-06-26 15:31:24.755
127,85,3,2024-06-27 05:55:55.537,2024-06-27 05:55:55.537
128,61,17,2024-06-28 01:49:49.347,2024-06-28 01:49:49.347
129,61,17,2024-06-28 01:49:51.954,2024-06-28 01:49:51.954
130,86,17,2024-06-28 02:03:53.105,2024-06-28 02:03:53.105
131,61,41,2024-06-28 07:27:56.490,2024-06-28 07:27:56.490
132,64,27,2024-06-28 11:48:20.103,2024-06-28 11:48:20.103
133,64,39,2024-06-28 12:04:25.259,2024-06-28 12:04:25.259
134,64,39,2024-06-28 12:04:32.660,2024-06-28 12:04:32.660
135,64,27,2024-06-28 12:20:10.606,2024-06-28 12:20:10.606
136,63,37,2024-06-28 12:43:25.713,2024-06-28 12:43:25.713
137,63,37,2024-06-28 12:43:28.215,2024-06-28 12:43:28.215
138,63,37,2024-06-28 12:43:30.441,2024-06-28 12:43:30.441
