my_plant_id,planting_history_id,watering_history_id,watering_count,planting_count,user_plant_count
169,132,-1,31,136,82
169,133,-1,31,136,82
258,29,-1,31,136,82
258,41,-1,31,136,82
258,67,-1,31,136,82
258,129,-1,31,136,82
258,130,-1,31,136,82
258,132,-1,31,136,82
258,133,-1,31,136,82
170,42,-1,31,136,82
166,38,-1,31,136,82
166,75,-1,31,136,82
165,37,-1,31,136,82
165,73,-1,31,136,82
165,74,-1,31,136,82
165,131,-1,31,136,82
165,137,-1,31,136,82
262,37,-1,31,136,82
262,73,-1,31,136,82
262,74,-1,31,136,82
262,131,-1,31,136,82
262,137,-1,31,136,82
181,53,-1,31,136,82
-1,18,-1,31,136,82
-1,17,-1,31,136,82
232,106,-1,31,136,82
232,107,-1,31,136,82
232,108,-1,31,136,82
233,106,-1,31,136,82
233,107,-1,31,136,82
233,108,-1,31,136,82
234,106,-1,31,136,82
234,107,-1,31,136,82
234,108,-1,31,136,82
228,102,-1,31,136,82
218,92,-1,31,136,82
240,114,-1,31,136,82
238,112,-1,31,136,82
231,105,-1,31,136,82
221,95,-1,31,136,82
239,113,-1,31,136,82
222,96,-1,31,136,82
217,91,15,31,136,82
217,91,19,31,136,82
217,91,20,31,136,82
217,91,37,31,136,82
223,97,-1,31,136,82
229,103,-1,31,136,82
224,98,-1,31,136,82
230,61,-1,31,136,82
230,89,-1,31,136,82
230,104,-1,31,136,82
220,94,-1,31,136,82
236,110,-1,31,136,82
219,60,-1,31,136,82
219,93,-1,31,136,82
237,62,-1,31,136,82
237,63,-1,31,136,82
237,81,-1,31,136,82
237,111,-1,31,136,82
241,115,-1,31,136,82
216,59,-1,31,136,82
216,90,-1,31,136,82
206,80,-1,31,136,82
204,65,-1,31,136,82
204,78,-1,31,136,82
205,66,-1,31,136,82
205,79,-1,31,136,82
203,77,-1,31,136,82
201,64,-1,31,136,82
201,72,-1,31,136,82
